Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ALYREF	"ALY, ALY/REF, BEF, REF, THOC4"	ENSG00000183684	"Aly/REF export factor"		17	81887835-81891586	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enhanced"	"Detected in all"		"bone marrow: 146.9"	"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB016281, HPA019799, HPA061282"	Supported		Approved	"Nucleoplasm,Nuclear speckles"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 27: Non-specific - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 61: Plasma cells - Immunoglobulins & histones"	81	"Nucleoplasm, Nuclear speckles"		"CAB016281: AB_626667, HPA019799: AB_1844788, HPA061282: AB_2684464"	"unprognostic (1.24e-2)"	"unprognostic (1.96e-1)"		"unprognostic (4.77e-2)"	"unprognostic (3.99e-2)"	"unprognostic (4.29e-1)"	"unprognostic (1.37e-1)"	"unprognostic (4.02e-3)"	"unprognostic (1.58e-2)"	"unprognostic (4.06e-2)"	"unprognostic (6.62e-2)"	"unprognostic (1.59e-1)"	"unprognostic (1.76e-3)"	"unprognostic (7.59e-5)"		"unprognostic (1.63e-3)"	"unprognostic (1.88e-7)"	"unprognostic (2.48e-1)"	"unprognostic (3.66e-2)"	"unprognostic (1.09e-2)"	"unprognostic (5.92e-4)"	"unprognostic (7.30e-2)"	"unprognostic (3.06e-1)"	"unprognostic (5.78e-3)"	"unprognostic (4.08e-2)"	"unprognostic (3.07e-2)"	"unprognostic (2.68e-1)"	"unprognostic (1.49e-2)"	"unprognostic (2.33e-1)"	"unprognostic (3.68e-2)"	"unprognostic (6.90e-2)"
ANKRD44	PP6-ARS-B	ENSG00000065413	"Ankyrin repeat domain 44"	Q8N8A2	2	196967017-197311173	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"lymphoid tissue: 35.7"	"Cell type enhanced"	"Detected in many"		"B-cells: 181.0;Microglial cells: 373.1;NK-cells: 143.2;Oligodendrocyte precursor cells: 164.1;Oligodendrocytes: 185.7;T-cells: 135.0"	"Cell type enhanced"	"Detected in all"		"central nervous system macrophage: 1843.5;leukocyte: 1308.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"lymphoma: 28.7"	"Adipose visceral - T-cells, Prostate - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA030122, HPA056549"	Approved		Approved	"Nuclear speckles,Mitochondria"			NA	NA			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 73: B-cells - B-cell function"	21	Mitochondria	"Nuclear speckles"	"HPA030122: AB_10600980, HPA056549: AB_2683170"	"unprognostic (9.88e-3)"	"unprognostic (3.59e-1)"	"unprognostic (1.17e-2)"	"unprognostic (5.10e-2)"	"unprognostic (2.14e-2)"	"unprognostic (1.22e-1)"	"unprognostic (3.03e-1)"	"unprognostic (8.08e-3)"	"unprognostic (3.47e-4)"	"unprognostic (1.12e-2)"	"unprognostic (2.39e-3)"	"unprognostic (1.78e-1)"	"unprognostic (1.91e-1)"	"unprognostic (3.97e-2)"	"unprognostic (7.38e-2)"	"unprognostic (2.08e-3)"	"unprognostic (6.53e-3)"	"unprognostic (3.31e-1)"	"unprognostic (9.18e-2)"	"unprognostic (2.14e-1)"	"unprognostic (1.46e-1)"	"unprognostic (3.12e-2)"	"unprognostic (1.45e-1)"	"unprognostic (2.41e-1)"	"unprognostic (1.74e-1)"	"unprognostic (3.36e-2)"	"unprognostic (3.64e-1)"	"unprognostic (3.33e-2)"	"unprognostic (2.83e-3)"	"unprognostic (2.80e-1)"	"unprognostic (3.59e-2)"
ANKRD55	FLJ11795	ENSG00000164512	"Ankyrin repeat domain 55"	Q3KP44	5	56099680-56233330	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 3.8;lymphoid tissue: 3.5;testis: 9.6"	"Group enriched"	"Detected in some"	5	"Early spermatids: 170.9;Inhibitory neurons: 98.7;Late spermatids: 50.5;Spermatocytes: 48.5"	"Group enriched"	"Detected in all"	4	"CGE interneuron: 162.8;committed oligodendrocyte precursor: 47.1;eccentric medium spiny neuron: 105.6;LAMP5-LHX6 and Chandelier: 152.4;lower rhombic lip: 88.1;medium spiny neuron: 75.3;MGE interneuron: 132.2;midbrain-derived inhibitory: 94.6;oligodendrocyte precursor cell: 89.6;splatter: 84.2"	"Cancer enriched"	"Detected in single"	6	"Testicular Germ Cell Tumor (TCGA): 1.9"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"basophil: 23.1;eosinophil: 20.8;naive CD4 T-cell: 19.9"	"Group enriched"	"Detected in many"	74	"granulocytes: 23.1;T-cells: 19.9"	"Cancer enhanced"	"Detected in some"		"Leukemia: 7.0;lymphoma: 3.6"	"Liver - Sinusoid Endothelial cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA051049, HPA061649"	Uncertain		Approved	"Nucleoplasm,Nuclear speckles,Cytosol"			NA	NA			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 44: Testis - Spermatogenesis"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 50: Lymphoma - Unknown function"	"Cluster 65: Neurons - Synaptic function"	30	"Nucleoplasm, Nuclear speckles"	Cytosol	"HPA051049: AB_2681326, HPA061649: "			"unprognostic (2.31e-2)"																										"unprognostic (2.33e-1)"		
ANXA9	ANX31	ENSG00000143412	"Annexin A9"	O76027	1	150982249-150995634	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 15.5;Cholangiocytes: 57.2;Collecting duct cells: 15.6;Ductal cells: 22.0;Hepatocytes: 16.9;Proximal tubular cells: 44.4"	"Cell type enhanced"	"Detected in some"		"endothelial cell: 3.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"myeloid DC: 1.6"	"Group enriched"	"Detected in many"	4	"dendritic cells: 1.6;granulocytes: 1.0;monocytes: 1.2"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Mesothelial cells, Liver - Hepatocytes, Skin - Keratinocyte (granular), Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA028404, HPA028698"	Enhanced		Approved	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 7: Non-specific - Innate immune response"	"Cluster 68: Non-specific - Protein processing"	"Cluster 30: White matter - Myelination"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 3: Basal prostatic cells - Lipid metabolism"	23	"Nuclear speckles, Cytosol"		"HPA028404: AB_10599190, HPA028698: AB_10600227"	"unprognostic (1.91e-1)"	"unprognostic (1.65e-1)"	"unprognostic (2.60e-1)"	"unprognostic (1.44e-1)"	"unprognostic (3.92e-2)"	"unprognostic (6.12e-2)"	"unprognostic (8.17e-3)"		"unprognostic (8.80e-2)"	"unprognostic (1.70e-1)"	"unprognostic (3.68e-4)"	"unprognostic (2.19e-4)"	"unprognostic (2.62e-1)"	"unprognostic (3.80e-2)"	"unprognostic (1.02e-2)"	"unprognostic (4.25e-2)"	"unprognostic (3.61e-2)"	"unprognostic (6.81e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.79e-1)"	"unprognostic (1.84e-1)"	"unprognostic (2.22e-2)"	"unprognostic (4.60e-2)"	"unprognostic (1.54e-1)"	"unprognostic (9.69e-2)"	"unprognostic (8.35e-3)"	"unprognostic (1.25e-2)"	"unprognostic (2.12e-2)"	"unprognostic (2.24e-2)"	"unprognostic (1.11e-1)"	"unprognostic (3.06e-2)"
AP5Z1	"KIAA0415, SPG48, zeta"	ENSG00000242802	"Adaptor related protein complex 5 subunit zeta 1"	O43299	7	4775615-4794397	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair, Protein transport, Transport"		"Hereditary spastic paraplegia, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Liver - Vascular Endothelial cells, Minor Salivary Gland - Minor salivary glandular cells, Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA035693	Supported		Supported	"Nucleoplasm,Nuclear speckles"			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 66: Non-specific - Transcription"	"Cluster 37: Neurons - Mixed function"	"Cluster 67: Non-specific - Unknown function"	"Cluster 58: Macrophages - Innate immune response"	1	"Nuclear speckles"	Nucleoplasm	"HPA035693: AB_10960687"	"unprognostic (6.89e-2)"	"unprognostic (1.67e-1)"		"unprognostic (2.84e-2)"	"unprognostic (9.68e-3)"	"unprognostic (1.89e-1)"	"unprognostic (4.10e-2)"	"unprognostic (3.15e-1)"	"unprognostic (2.39e-1)"	"unprognostic (1.46e-1)"	"unprognostic (6.50e-7)"	"unprognostic (1.74e-1)"	"unprognostic (6.49e-2)"	"unprognostic (4.54e-4)"		"unprognostic (2.68e-1)"		"unprognostic (2.53e-2)"		"unprognostic (8.39e-2)"	"unprognostic (1.71e-1)"	"unprognostic (5.22e-4)"	"unprognostic (1.93e-1)"	"unprognostic (3.90e-2)"	"unprognostic (2.31e-1)"	"unprognostic (1.51e-2)"	"unprognostic (3.78e-1)"	"unprognostic (2.44e-1)"	"unprognostic (9.68e-2)"	"unprognostic (6.05e-2)"	"unprognostic (9.62e-2)"
API5	"AAC-11, AAC11, API5L1"	ENSG00000166181	"Apoptosis inhibitor 5"	Q9BZZ5	11	43311963-43344529	"Predicted intracellular proteins"	Apoptosis			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA026598	Approved		Enhanced	"Nuclear speckles"			NA	NA		46000	"Cluster 3: Non-specific - Nuclear processes"	"Cluster 16: Non-specific - Transcription"	"Cluster 34: Non-specific - Mixed function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 49: Non-specific - Transcription"	24	"Nuclear speckles"		"HPA026598: AB_1844927"	"unprognostic (1.43e-2)"	"unprognostic (1.69e-2)"	"unprognostic (3.94e-3)"	"unprognostic (1.30e-2)"	"unprognostic (1.66e-1)"	"unprognostic (3.62e-2)"	"unprognostic (9.00e-2)"	"unprognostic (2.26e-1)"	"unprognostic (1.56e-1)"	"unprognostic (6.12e-6)"	"unprognostic (9.33e-8)"	"unprognostic (2.05e-3)"	"unprognostic (1.45e-1)"	"unprognostic (3.67e-3)"	"unprognostic (4.99e-3)"	"unprognostic (1.91e-1)"	"unprognostic (4.84e-4)"	"unprognostic (1.02e-1)"	"unprognostic (2.77e-1)"	"unprognostic (9.97e-2)"	"unprognostic (9.64e-2)"	"unprognostic (1.79e-2)"	"unprognostic (2.46e-1)"	"unprognostic (4.08e-2)"	"unprognostic (6.36e-4)"	"unprognostic (8.66e-2)"	"unprognostic (8.61e-2)"	"unprognostic (5.90e-2)"	"unprognostic (3.73e-1)"	"unprognostic (8.66e-2)"	"unprognostic (1.60e-2)"
AQP7	"AQP7L, AQP9, AQPap"	ENSG00000165269	"Aquaporin 7"	O14520	9	33383179-33402682	"Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 205.9;breast: 101.5;heart muscle: 105.1"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 105.7;Cardiomyocytes: 87.0;Early spermatids: 152.5;Proximal enterocytes: 143.0;Proximal tubular cells: 53.4"	"Cell type enhanced"	"Detected in some"		"lower rhombic lip: 19.0;upper rhombic lip: 7.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Minor Salivary Gland - Adipocytes (Minor salivary gland), Testis - Early spermatids, Testis - Late spermatids"									HPA048106			Uncertain	"Nucleoplasm,Nuclear speckles,Vesicles"			NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 22: Proximal enterocytes - Digestion"	1	Vesicles	"Nucleoplasm, Nuclear speckles"	"HPA048106: "	"unprognostic (1.79e-1)"	"unprognostic (4.22e-2)"	"unprognostic (9.95e-3)"		"unprognostic (1.69e-2)"	"unprognostic (1.50e-2)"				"unprognostic (1.78e-2)"	"unprognostic (1.33e-4)"	"unprognostic (2.07e-5)"	"unprognostic (3.87e-2)"	"unprognostic (1.32e-1)"	"unprognostic (1.29e-1)"	"unprognostic (5.74e-2)"	"unprognostic (9.56e-4)"					"unprognostic (7.06e-6)"			"unprognostic (1.50e-1)"	"unprognostic (1.87e-1)"		"unprognostic (4.24e-2)"		"unprognostic (1.54e-1)"	
AQP7B		ENSG00000259916	"Aquaporin 7B"		2	94587101-94612744	"Metabolic proteins, Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enriched"	"Detected in some"	11	"adipose tissue: 30.5"	"Group enriched"	"Detected in some"	4	"Astrocytes: 4.3;Early spermatids: 2.3;Excitatory neurons: 2.3;Inhibitory neurons: 1.1;Late spermatids: 2.3;Proximal tubular cells: 1.9"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Gallbladder cancer: 1.2"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Minor Salivary Gland - Adipocytes (Minor salivary gland)"									HPA048106			Uncertain	"Nucleoplasm,Nuclear speckles,Vesicles"			NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		Vesicles	"Nucleoplasm, Nuclear speckles"	"HPA048106: "																															
ARHGAP18	"bA307O14.2, MacGAP"	ENSG00000146376	"Rho GTPase activating protein 18"	Q8N392	6	129576132-129710177	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"granulocytes: 562.7;Syncytiotrophoblasts: 227.3"	"Cell type enhanced"	"Detected in many"		"eccentric medium spiny neuron: 297.7;ependymal cell: 314.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA031595	Approved		Supported	"Nuclear speckles,Plasma membrane,Cytosol"			NA	NA		2100000	"Cluster 41: Basophils - Unknown function"	"Cluster 68: Non-specific - Protein processing"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 30: Granulocytes - Unknown function"	4	Cytosol	"Nuclear speckles, Plasma membrane"	"HPA031595: AB_10959905"	"unprognostic (1.70e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.44e-1)"	"unprognostic (2.49e-2)"	"unprognostic (2.01e-1)"	"unprognostic (8.02e-2)"	"unprognostic (1.45e-1)"	"unprognostic (5.32e-2)"	"unprognostic (1.10e-1)"	"unprognostic (1.95e-2)"	"unprognostic (3.26e-7)"	"unprognostic (1.35e-2)"	"unprognostic (9.57e-2)"	"unprognostic (8.81e-4)"	"unprognostic (2.88e-1)"	"unprognostic (6.04e-3)"	"unprognostic (4.12e-3)"	"unprognostic (2.21e-2)"	"unprognostic (1.65e-3)"	"unprognostic (5.37e-2)"	"unprognostic (1.17e-3)"	"unprognostic (3.44e-4)"	"unprognostic (1.18e-1)"	"unprognostic (2.36e-1)"	"unprognostic (2.11e-3)"	"unprognostic (1.30e-1)"	"unprognostic (1.52e-1)"	"unprognostic (2.04e-1)"	"unprognostic (2.19e-2)"	"unprognostic (7.23e-2)"	"unprognostic (3.82e-2)"
ARHGAP42	"AD031, FLJ32810, GRAF3, TMEM133"	ENSG00000165895	"Rho GTPase activating protein 42"	A6NI28	11	100687288-100993941	"Predicted intracellular proteins, Predicted membrane proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"retina: 30.6"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 97.5;Early spermatids: 64.5;Oligodendrocyte precursor cells: 212.2;Rod photoreceptor cells: 71.5"	"Cell type enhanced"	"Detected in many"		"pericyte: 1081.0;vascular associated smooth muscle cell: 400.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039924, HPA060528"	Uncertain		Approved	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 39: Retina & Testis - Cilium"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	1	"Nuclear speckles"	Cytosol	"HPA039924: AB_10674428, HPA060528: AB_2684308"	"unprognostic (9.04e-2)"	"unprognostic (2.84e-1)"	"unprognostic (2.80e-1)"	"unprognostic (1.40e-2)"	"unprognostic (1.93e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.52e-2)"	"unprognostic (3.91e-1)"	"unprognostic (2.86e-1)"	"unprognostic (7.19e-2)"	"unprognostic (1.07e-6)"	"unprognostic (5.85e-4)"	"unprognostic (5.62e-5)"	"unprognostic (4.77e-3)"	"unprognostic (3.46e-1)"	"unprognostic (1.16e-1)"	"unprognostic (3.63e-3)"	"unprognostic (1.09e-1)"	"unprognostic (3.36e-1)"	"unprognostic (8.70e-2)"	"unprognostic (7.67e-2)"	"unprognostic (1.79e-4)"	"unprognostic (8.92e-2)"	"unprognostic (2.35e-1)"	"unprognostic (1.87e-2)"	"unprognostic (1.62e-2)"	"unprognostic (8.31e-4)"	"unprognostic (1.07e-1)"	"unprognostic (3.92e-1)"	"unprognostic (1.24e-2)"	"unprognostic (5.97e-3)"
ARMCX5	"FLJ12969, GASP5"	ENSG00000125962	"Armadillo repeat containing X-linked 5"	Q6P1M9	X	102599168-102604159	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA000996	Approved		Approved	"Nuclear speckles,Plasma membrane,Cytosol"			NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 68: Non-specific - Protein processing"	"Cluster 53: Neurons - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 16: Intestinal goblet cells - Mucin production"	16	"Nuclear speckles, Cytosol"	"Plasma membrane"	"HPA000996: AB_1078212"	"unprognostic (2.38e-3)"	"unprognostic (7.72e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.86e-1)"	"unprognostic (4.58e-1)"	"unprognostic (1.88e-1)"	"unprognostic (1.23e-1)"	"unprognostic (3.80e-2)"	"unprognostic (1.94e-2)"	"unprognostic (5.48e-2)"	"unprognostic (2.13e-6)"	"unprognostic (1.18e-3)"	"unprognostic (1.07e-1)"	"unprognostic (6.32e-2)"	"unprognostic (2.04e-1)"	"unprognostic (2.38e-1)"	"unprognostic (9.51e-3)"	"unprognostic (7.38e-2)"	"unprognostic (9.40e-2)"	"unprognostic (1.15e-1)"	"unprognostic (2.59e-1)"	"unprognostic (1.41e-1)"	"unprognostic (1.23e-2)"	"unprognostic (3.22e-2)"	"unprognostic (2.21e-2)"	"unprognostic (4.77e-1)"	"unprognostic (1.28e-1)"	"unprognostic (1.02e-1)"	"unprognostic (7.84e-2)"	"unprognostic (2.38e-1)"	"unprognostic (2.93e-1)"
